codigo_ibge,cidade,latitude,longitude,populacao
5200050,Abadia de Goiás,-16.7573,-49.4412,22052
3100104,Abadia dos Dourados,-18.4831,-47.3916,6345
5200100,Abadiânia,-16.197,-48.7057,17738
3100203,Abaeté,-19.1551,-45.4444,23173
1500107,Abaetetuba,-1.72183,-48.8788,172344
2300101,Abaiara,-7.34588,-39.0416,10269
2900108,Abaíra,-13.2488,-41.6619,7407
2900207,Abaré,-8.72073,-39.1162,18269
4100103,Abatiá,-23.3049,-50.3133,7233
4200051,Abdon Batista,-27.6126,-51.0233,2629
1500131,Abel Figueiredo,-4.95333,-48.3933,6275
4200101,Abelardo Luz,-26.5716,-52.3229,17767
3100302,Abre Campo,-20.2996,-42.4743,14354
2600054,Abreu e Lima,-7.90072,-34.8984,104248
1700251,Abreulândia,-9.62101,-49.1518,2682
3100401,Acaiaca,-20.359,-43.1439,3998
2100055,Açailândia,-4.94714,-47.5004,110611
2900306,Acajutiba,-11.6575,-38.0197,14200
1500206,Acará,-1.95383,-48.1985,63110
2300150,Acarape,-4.22083,-38.7055,14340
2300200,Acaraú,-2.88769,-40.1183,69317
2400109,Acari,-6.4282,-36.6347,10855
2200053,Acauã,-8.21954,-41.0831,6323
4300034,Aceguá,-31.8665,-54.1615,4251
2300309,Acopiara,-6.08911,-39.448,45937
5100102,Acorizal,-15.194,-56.3632,4948
1200013,Acrelândia,-9.82581,-66.8972,14712
5200134,Acreúna,-17.396,-50.3749,22079
2400208,Açu,-5.58362,-36.914,59099
3100500,Açucena,-19.0671,-42.5419,8926
3500105,Adamantina,-21.682,-51.0737,35673
5200159,Adelândia,-16.4127,-50.1657,2282
3500204,Adolfo,-21.2325,-49.6451,4505
4100202,Adrianópolis,-24.6606,-48.9922,6319
2900355,Adustina,-10.5437,-38.1113,14510
2600104,Afogados da Ingazeira,-7.74312,-37.631,42672
2400307,Afonso Bezerra,-5.49229,-36.5075,11158
3200102,Afonso Cláudio,-20.0778,-41.1261,32456
2100105,Afonso Cunha,-4.13631,-43.3275,6303
2600203,Afrânio,-8.51136,-41.0095,19409
1500305,Afuá,-0.154874,-50.3861,40473
2600302,Agrestina,-8.45966,-35.9447,24680
2200103,Agricolândia,-5.79676,-42.6664,5016
4200200,Agrolândia,-27.4087,-49.822,11646
4200309,Agronômica,-27.2662,-49.708,6511
1500347,Água Azul do Norte,-6.79053,-50.4791,17596
3100609,Água Boa,-17.9914,-42.3806,12391
5100201,Água Boa,-14.051,-52.1601,32099
2200202,Água Branca,-5.88856,-42.637,18095
2500106,Água Branca,-7.51144,-37.6357,9580
2700102,Água Branca,-9.262,-37.938,19550
5000203,Água Clara,-20.4452,-52.879,17901
3100708,Água Comprida,-20.0576,-48.1069,2171
4200408,Água Doce,-26.9985,-51.5528,6587
2100154,Água Doce do Maranhão,-2.84048,-42.1189,12461
3200169,Água Doce do Norte,-18.5482,-40.9854,12585
2900405,Água Fria,-11.8618,-38.7639,14833
5200175,Água Fria de Goiás,-14.9778,-47.7823,4979
5200209,Água Limpa,-18.0771,-48.7603,1843
2400406,Água Nova,-6.20351,-38.2941,3029
2600401,Água Preta,-8.70609,-35.5263,26981
4300059,Água Santa,-28.1672,-52.031,4003
3500303,Aguaí,-22.0572,-46.9735,32886
3100807,Aguanil,-20.9439,-45.3915,4509
2600500,Águas Belas,-9.11125,-37.1226,43822
3500402,Águas da Prata,-21.9319,-46.7176,7463
4200507,Águas de Chapecó,-27.0754,-52.9808,6123
3500501,Águas de Lindóia,-22.4733,-46.6314,18257
3500550,Águas de Santa Bárbara,-22.8812,-49.2421,7460
3500600,Águas de São Pedro,-22.5977,-47.8734,2928
3100906,Águas Formosas,-17.0802,-40.9384,18850
4200556,Águas Frias,-26.8794,-52.8568,3000
5200258,Águas Lindas de Goiás,-15.7617,-48.2816,245352
4200606,Águas Mornas,-27.6963,-48.8243,7193
3101003,Águas Vermelhas,-15.7431,-41.4571,14567
4300109,Agudo,-29.6447,-53.2515,16341
3500709,Agudos,-22.4694,-48.9863,38988
4100301,Agudos do Sul,-25.9899,-49.3343,10770
3200136,Águia Branca,-18.9846,-40.7437,10143
2500205,Aguiar,-7.0918,-38.1681,5026
1700301,Aguiarnópolis,-6.55409,-47.4702,4502
3101102,Aimorés,-19.5007,-41.0746,26212
2900603,Aiquara,-14.1269,-39.8937,4583
