CO_MUN_RES,total_casos,prob_influenza,prob_outro_virus,prob_outro_agente,prob_srag_covid,codigo_ibge,cod_6d,nome
110012.0,2,1.13,14.81,0.03,84.03,1100122.0,110012.0,Ji-Paraná
110020.0,2,1.17,12.78,0.02,86.03,1100205.0,110020.0,Porto Velho
120001.0,1,1.83,75.63,0.03,22.51,1200013.0,120001.0,Acrelândia
120038.0,1,1.83,73.91,0.05,24.21,1200385.0,120038.0,Plácido de Castro
120040.0,5,0.99,20.95,0.03,78.04,1200401.0,120040.0,Rio Branco
120050.0,1,1.08,13.56,0.03,85.34,1200500.0,120050.0,Sena Madureira
130080.0,1,2.96,93.8,0.02,3.22,1300805.0,130080.0,Borba
130110.0,1,2.79,33.33,0.04,63.83,1301100.0,130110.0,Careiro
130185.0,2,3.2,89.7,0.03,7.07,1301852.0,130185.0,Iranduba
130190.0,3,11.78,54.89,0.09,33.24,1301902.0,130190.0,Itacoatiara
130250.0,3,13.22,42.58,0.06,44.14,1302504.0,130250.0,Manacapuru
130260.0,100,11.06,64.15,0.06,24.72,1302603.0,130260.0,Manaus
130340.0,2,2.95,91.37,0.03,5.66,1303403.0,130340.0,Parintins
130380.0,4,23.0,53.98,0.07,22.94,1303809.0,130380.0,São Gabriel da Cachoeira
130406.0,1,20.1,47.11,0.05,32.73,1304062.0,130406.0,Tabatinga
130426.0,1,50.44,37.62,0.15,11.79,1304260.0,130426.0,Uarini
150060.0,2,2.85,12.35,0.03,84.78,1500602.0,150060.0,Altamira
150080.0,8,2.72,33.62,0.07,63.58,1500800.0,150080.0,Ananindeua
150085.0,2,1.13,51.61,0.06,47.2,1500859.0,150085.0,Anapu
150095.0,1,3.53,74.64,0.07,21.76,1500958.0,150095.0,Aurora do Pará
150130.0,1,0.64,10.28,0.03,89.04,1501303.0,150130.0,Barcarena
150140.0,18,5.57,36.13,0.06,58.24,1501402.0,150140.0,Belém
150150.0,1,13.24,5.79,0.03,80.93,1501501.0,150150.0,Benevides
150190.0,1,0.62,60.84,0.11,38.42,1501907.0,150190.0,Bujaru
150215.0,1,3.45,62.99,0.1,33.46,1502152.0,150215.0,Canaã dos Carajás
150240.0,1,0.24,25.8,0.05,73.91,1502400.0,150240.0,Castanhal
150470.0,1,0.89,42.86,0.05,56.2,1504703.0,150470.0,Moju
150490.0,1,4.0,70.22,0.05,25.73,1504901.0,150490.0,Muaná
150506.0,1,1.27,79.14,0.02,19.57,1505064.0,150506.0,Novo Repartimento
150550.0,1,1.85,76.96,0.04,21.14,1505502.0,150550.0,Paragominas
150553.0,3,1.19,33.64,0.09,65.08,1505536.0,150553.0,Parauapebas
150730.0,1,4.0,70.22,0.05,25.73,1507300.0,150730.0,São Félix do Xingu
150810.0,2,2.17,69.69,0.06,28.07,1508100.0,150810.0,Tucuruí
