municipio,codigo_ibge,latitude,longitude,total_casos,prob_influenza_pct,prob_outro_virus_pct,prob_outro_agente_pct,prob_srag_covid_pct
São Paulo,3550308.0,-23.5329,-46.6395,3259,31.74,19.31,15.35,33.61
Curitiba,4106902.0,-25.4195,-49.2646,1726,24.11,39.75,5.51,30.63
Manaus,1302603.0,-3.11866,-60.0212,1607,21.41,39.34,8.94,30.31
Belo Horizonte,3106200.0,-19.9102,-43.9266,1446,29.81,16.54,6.39,47.26
Porto Alegre,4314902.0,-30.0318,-51.2065,1080,27.43,34.91,4.72,32.94
Campinas,3509502.0,-22.9053,-47.0659,1011,22.82,25.9,14.75,36.52
Recife,2611606.0,-8.04666,-34.8771,966,19.84,31.29,5.53,43.34
Salvador,2927408.0,-12.9718,-38.5011,928,28.07,31.63,11.54,28.77
Foz do Iguaçu,4108304.0,-25.5427,-54.5827,896,28.51,32.61,6.05,32.83
Campo Grande,5002704.0,-20.4486,-54.6295,883,24.23,39.71,6.17,29.9
Rio de Janeiro,3304557.0,-22.9129,-43.2003,723,23.44,41.99,6.44,28.14
Fortaleza,2304400.0,-3.71664,-38.5423,550,24.95,38.68,8.69,27.68
Canoas,4304606.0,-29.9128,-51.1857,491,21.08,35.24,5.11,38.57
São José dos Campos,3549904.0,-23.1896,-45.8841,489,25.23,24.14,13.82,36.81
Jaboatão dos Guararapes,2607901.0,-8.11298,-35.015,382,17.7,33.23,5.81,43.25
Altamira,1500602.0,-3.20407,-52.21,370,22.01,25.22,5.4,47.37
Teresina,2211001.0,-5.09194,-42.8034,338,28.93,32.19,6.17,32.7
Goiânia,5208707.0,-16.6864,-49.2643,331,31.32,25.9,14.05,28.73
Guarulhos,3518800.0,-23.4538,-46.5333,298,28.67,21.97,15.71,33.65
Londrina,4113700.0,-23.304,-51.1691,287,24.15,39.01,5.64,31.2
Ribeirão Preto,3543402.0,-21.1699,-47.8099,275,38.28,12.59,13.25,35.88
São José do Rio Preto,3549805.0,-20.8113,-49.3758,273,34.24,15.94,11.01,38.8
Maringá,4115200.0,-23.4205,-51.9333,272,28.57,33.3,4.85,33.28
São José dos Pinhais,4125506.0,-25.5313,-49.2031,269,20.31,45.96,6.34,27.39
Taubaté,3554102.0,-23.0104,-45.5593,253,29.34,19.01,13.61,38.04
Florianópolis,4205407.0,-27.5945,-48.5477,238,35.72,25.72,5.62,32.94
